um	25	0.000000	31.419000	0.001764	40	dimersa_mu.dat
mu	25	0.000000	19.181800	0.069135	40	dimersa_mu.dat
um	30	0.000000	37.702800	0.002116	40	dimersa_mu.dat
mu	30	0.000000	21.318300	0.111053	40	dimersa_mu.dat
um	35	0.000000	43.986600	0.002466	40	dimersa_mu.dat
mu	35	0.000000	23.306500	0.152951	40	dimersa_mu.dat
um	25	0.100000	31.418800	0.001760	40	dimersa_mu.dat
mu	25	0.100000	19.345700	0.063109	40	dimersa_mu.dat
um	30	0.100000	37.702600	0.002110	40	dimersa_mu.dat
mu	30	0.100000	21.523200	0.102633	40	dimersa_mu.dat
um	35	0.100000	43.986300	0.002461	40	dimersa_mu.dat
mu	35	0.100000	23.547000	0.142702	40	dimersa_mu.dat
um	25	0.200000	31.418600	0.001682	40	dimersa_mu.dat
mu	25	0.200000	19.747800	0.052866	40	dimersa_mu.dat
um	30	0.200000	37.702300	0.002019	40	dimersa_mu.dat
mu	30	0.200000	22.017000	0.087600	40	dimersa_mu.dat
um	35	0.200000	43.986000	0.002356	40	dimersa_mu.dat
mu	35	0.200000	24.123200	0.123778	40	dimersa_mu.dat
um	25	0.300000	31.418200	0.001555	40	dimersa_mu.dat
mu	25	0.300000	20.350700	0.043273	40	dimersa_mu.dat
um	30	0.300000	37.701800	0.001866	40	dimersa_mu.dat
mu	30	0.300000	22.769500	0.073365	40	dimersa_mu.dat
um	35	0.300000	43.985500	0.002177	40	dimersa_mu.dat
mu	35	0.300000	25.018800	0.105817	40	dimersa_mu.dat
um	25	0.400000	31.417900	0.001424	40	dimersa_mu.dat
mu	25	0.400000	21.079900	0.039997	40	dimersa_mu.dat
um	30	0.400000	37.701400	0.001709	40	dimersa_mu.dat
mu	30	0.400000	23.684600	0.068520	40	dimersa_mu.dat
um	35	0.400000	43.985000	0.001992	40	dimersa_mu.dat
mu	35	0.400000	26.113700	0.099675	40	dimersa_mu.dat
um	25	0.500000	31.417700	0.001305	40	dimersa_mu.dat
mu	25	0.500000	21.845500	0.045700	40	dimersa_mu.dat
um	30	0.500000	37.701300	0.001566	40	dimersa_mu.dat
mu	30	0.500000	24.641500	0.079020	40	dimersa_mu.dat
um	35	0.500000	43.984800	0.001827	40	dimersa_mu.dat
mu	35	0.500000	27.254700	0.114390	40	dimersa_mu.dat
um	25	0.600000	31.417800	0.001159	40	dimersa_mu.dat
mu	25	0.600000	22.575900	0.054383	40	dimersa_mu.dat
um	30	0.600000	37.701400	0.001391	40	dimersa_mu.dat
mu	30	0.600000	25.554700	0.094913	40	dimersa_mu.dat
um	35	0.600000	43.984900	0.001622	40	dimersa_mu.dat
mu	35	0.600000	28.343000	0.136508	40	dimersa_mu.dat
um	25	0.700000	31.417800	0.001010	40	dimersa_mu.dat
mu	25	0.700000	23.218500	0.052396	40	dimersa_mu.dat
um	30	0.700000	37.701400	0.001213	40	dimersa_mu.dat
mu	30	0.700000	26.362100	0.095774	40	dimersa_mu.dat
um	35	0.700000	43.984900	0.001416	40	dimersa_mu.dat
mu	35	0.700000	29.305100	0.141018	40	dimersa_mu.dat
um	25	0.800000	31.417700	0.000895	40	dimersa_mu.dat
mu	25	0.800000	23.730900	0.041604	40	dimersa_mu.dat
um	30	0.800000	37.701200	0.001074	40	dimersa_mu.dat
mu	30	0.800000	27.022500	0.081064	40	dimersa_mu.dat
um	35	0.800000	43.984700	0.001253	40	dimersa_mu.dat
mu	35	0.800000	30.102400	0.123972	40	dimersa_mu.dat
um	25	0.900000	31.417500	0.000806	40	dimersa_mu.dat
mu	25	0.900000	24.087300	0.031387	40	dimersa_mu.dat
um	30	0.900000	37.701000	0.000968	40	dimersa_mu.dat
mu	30	0.900000	27.503200	0.063672	40	dimersa_mu.dat
um	35	0.900000	43.984500	0.001130	40	dimersa_mu.dat
mu	35	0.900000	30.701800	0.100718	40	dimersa_mu.dat
um	25	1.000000	31.417200	0.000751	40	dimersa_mu.dat
mu	25	1.000000	24.297300	0.026169	40	dimersa_mu.dat
um	30	1.000000	37.700700	0.000902	40	dimersa_mu.dat
mu	30	1.000000	27.800000	0.052828	40	dimersa_mu.dat
um	35	1.000000	43.984100	0.001053	40	dimersa_mu.dat
mu	35	1.000000	31.083800	0.084584	40	dimersa_mu.dat
um	25	1.100000	31.417000	0.000746	40	dimersa_mu.dat
mu	25	1.100000	24.388900	0.026985	40	dimersa_mu.dat
um	30	1.100000	37.700400	0.000896	40	dimersa_mu.dat
mu	30	1.100000	27.930900	0.052657	40	dimersa_mu.dat
um	35	1.100000	43.983800	0.001045	40	dimersa_mu.dat
mu	35	1.100000	31.249500	0.082463	40	dimersa_mu.dat
um	25	1.200000	31.416800	0.000798	40	dimersa_mu.dat
mu	25	1.200000	24.406700	0.026089	40	dimersa_mu.dat
um	30	1.200000	37.700100	0.000956	40	dimersa_mu.dat
mu	30	1.200000	27.954200	0.052502	40	dimersa_mu.dat
um	35	1.200000	43.983500	0.001116	40	dimersa_mu.dat
mu	35	1.200000	31.272600	0.084164	40	dimersa_mu.dat
um	25	1.300000	31.416800	0.000880	40	dimersa_mu.dat
mu	25	1.300000	24.403400	0.022433	40	dimersa_mu.dat
um	30	1.300000	37.700200	0.001056	40	dimersa_mu.dat
mu	30	1.300000	27.962100	0.046780	40	dimersa_mu.dat
um	35	1.300000	43.983500	0.001232	40	dimersa_mu.dat
mu	35	1.300000	31.294900	0.078096	40	dimersa_mu.dat
um	25	1.400000	31.417000	0.000976	40	dimersa_mu.dat
mu	25	1.400000	24.391500	0.022702	40	dimersa_mu.dat
um	30	1.400000	37.700400	0.001172	40	dimersa_mu.dat
mu	30	1.400000	27.962900	0.047354	40	dimersa_mu.dat
um	35	1.400000	43.983800	0.001367	40	dimersa_mu.dat
mu	35	1.400000	31.317900	0.077638	40	dimersa_mu.dat
um	25	1.500000	31.417400	0.001061	40	dimersa_mu.dat
mu	25	1.500000	24.371000	0.024264	40	dimersa_mu.dat
um	30	1.500000	37.700900	0.001272	40	dimersa_mu.dat
mu	30	1.500000	27.935500	0.050311	40	dimersa_mu.dat
um	35	1.500000	43.984400	0.001483	40	dimersa_mu.dat
mu	35	1.500000	31.287900	0.081693	40	dimersa_mu.dat
um	25	1.600000	31.417900	0.001159	40	dimersa_mu.dat
mu	25	1.600000	24.347500	0.026428	40	dimersa_mu.dat
um	30	1.600000	37.701400	0.001391	40	dimersa_mu.dat
mu	30	1.600000	27.886500	0.053037	40	dimersa_mu.dat
um	35	1.600000	43.985000	0.001623	40	dimersa_mu.dat
mu	35	1.600000	31.205200	0.084884	40	dimersa_mu.dat
um	25	1.700000	31.418300	0.001315	40	dimersa_mu.dat
mu	25	1.700000	24.341000	0.029049	40	dimersa_mu.dat
um	30	1.700000	37.702000	0.001575	40	dimersa_mu.dat
mu	30	1.700000	27.866400	0.057340	40	dimersa_mu.dat
