um	0	0.000000	0.000000	40	muref1a_mu.dat
mu	0	0.000000	0.000000	40	muref1a_mu.dat
um	5	3.141290	0.000153	40	muref1a_mu.dat
mu	5	2.985000	0.000166	40	muref1a_mu.dat
um	10	6.282580	0.000305	40	muref1a_mu.dat
mu	10	5.672160	0.000462	40	muref1a_mu.dat
um	15	9.423870	0.000458	40	muref1a_mu.dat
mu	15	8.083290	0.001090	40	muref1a_mu.dat
um	20	12.565200	0.000611	40	muref1a_mu.dat
mu	20	10.240100	0.002438	40	muref1a_mu.dat
um	25	15.706400	0.000765	40	muref1a_mu.dat
mu	25	12.165000	0.005359	40	muref1a_mu.dat
um	30	18.847700	0.000916	40	muref1a_mu.dat
mu	30	13.880900	0.011363	40	muref1a_mu.dat
um	35	21.989000	0.001071	40	muref1a_mu.dat
mu	35	15.412100	0.022324	40	muref1a_mu.dat
um	40	25.130300	0.001223	40	muref1a_mu.dat
mu	40	16.786600	0.039207	40	muref1a_mu.dat
um	45	28.271600	0.001376	40	muref1a_mu.dat
mu	45	18.035600	0.061163	40	muref1a_mu.dat
um	50	31.412900	0.001526	40	muref1a_mu.dat
mu	50	19.189600	0.086364	40	muref1a_mu.dat
um	0	0.000000	0.000000	40	muref1b_mu.dat
mu	0	0.000000	0.000000	40	muref1b_mu.dat
um	5	3.141900	0.000176	40	muref1b_mu.dat
mu	5	2.985710	0.000184	40	muref1b_mu.dat
um	10	6.283800	0.000352	40	muref1b_mu.dat
mu	10	5.673470	0.000455	40	muref1b_mu.dat
um	15	9.425690	0.000529	40	muref1b_mu.dat
mu	15	8.084450	0.000948	40	muref1b_mu.dat
um	20	12.567600	0.000704	40	muref1b_mu.dat
mu	20	10.239700	0.001949	40	muref1b_mu.dat
um	25	15.709500	0.000880	40	muref1b_mu.dat
mu	25	12.160800	0.004238	40	muref1b_mu.dat
um	30	18.851400	0.001057	40	muref1b_mu.dat
mu	30	13.871200	0.009250	40	muref1b_mu.dat
um	35	21.993300	0.001235	40	muref1b_mu.dat
mu	35	15.397600	0.018405	40	muref1b_mu.dat
um	40	25.135200	0.001411	40	muref1b_mu.dat
mu	40	16.770400	0.032091	40	muref1b_mu.dat
um	45	28.277100	0.001585	40	muref1b_mu.dat
mu	45	18.021900	0.049461	40	muref1b_mu.dat
um	50	31.419000	0.001764	40	muref1b_mu.dat
mu	50	19.181800	0.069135	40	muref1b_mu.dat
um	0	0.000000	0.000000	40	muref2a_mu.dat
mu	0	0.000000	0.000000	40	muref2a_mu.dat
um	5	3.141750	0.000113	40	muref2a_mu.dat
mu	5	2.985580	0.000119	40	muref2a_mu.dat
um	10	6.283510	0.000225	40	muref2a_mu.dat
mu	10	5.673250	0.000304	40	muref2a_mu.dat
um	15	9.425260	0.000338	40	muref2a_mu.dat
mu	15	8.084340	0.000668	40	muref2a_mu.dat
um	20	12.567000	0.000451	40	muref2a_mu.dat
mu	20	10.240200	0.001453	40	muref2a_mu.dat
um	25	15.708800	0.000565	40	muref2a_mu.dat
mu	25	12.162700	0.003142	40	muref2a_mu.dat
um	30	18.850500	0.000676	40	muref2a_mu.dat
mu	30	13.874300	0.006735	40	muref2a_mu.dat
um	35	21.992300	0.000789	40	muref2a_mu.dat
mu	35	15.398000	0.013808	40	muref2a_mu.dat
um	40	25.134000	0.000901	40	muref2a_mu.dat
mu	40	16.759400	0.025558	40	muref2a_mu.dat
um	45	28.275800	0.001012	40	muref2a_mu.dat
mu	45	17.986800	0.041788	40	muref2a_mu.dat
um	50	31.417500	0.001125	40	muref2a_mu.dat
mu	50	19.109300	0.061213	40	muref2a_mu.dat
um	0	0.000000	0.000000	100	muref2_mu.dat
mu	0	0.000000	0.000000	100	muref2_mu.dat
um	5	3.141560	0.000110	100	muref2_mu.dat
mu	5	2.985450	0.000116	100	muref2_mu.dat
um	10	6.283120	0.000221	100	muref2_mu.dat
mu	10	5.673230	0.000294	100	muref2_mu.dat
um	15	9.424690	0.000331	100	muref2_mu.dat
mu	15	8.084630	0.000631	100	muref2_mu.dat
um	20	12.566200	0.000441	100	muref2_mu.dat
mu	20	10.240700	0.001395	100	muref2_mu.dat
um	25	15.707800	0.000551	100	muref2_mu.dat
mu	25	12.162800	0.003214	100	muref2_mu.dat
um	30	18.849400	0.000662	100	muref2_mu.dat
mu	30	13.874100	0.007110	100	muref2_mu.dat
um	35	21.990900	0.000772	100	muref2_mu.dat
mu	35	15.400200	0.014103	100	muref2_mu.dat
um	40	25.132500	0.000883	100	muref2_mu.dat
mu	40	16.771600	0.024320	100	muref2_mu.dat
um	45	28.274100	0.000992	100	muref2_mu.dat
mu	45	18.021200	0.036838	100	muref2_mu.dat
um	50	31.415600	0.001103	100	muref2_mu.dat
mu	50	19.179300	0.050521	100	muref2_mu.dat
